product_id,product_name,category,subcategory,unit_cost,unit_price,is_active
1,Pantalones Comunidad 1,moda,Pantalones,58.06,158.28,True
2,Ciclismo Acuerdo 2,deporte,Ciclismo,110.6,243.1,True
3,Calzado Meses 3,MODA,Calzado,25.93,39.78,True
4,Muebles Menos 4,Hogar,Muebles,11.54,,True
5,Maquillaje Orden 5,Belleza,Maquillaje,91.36,215.8,True
6,Maquillaje Pudo 6,belleza,Maquillaje,6.03,16.61,True
7,Running Espera 7,deporte,Running,125.37,202.91,True
8,Cocina Vida 8,hogar,Cocina,29.73,46.83,True
9,Fitness Futuro 9,Deporte,Fitness,47.72,99.6,True
10,Auriculares Distintas 10,electronica,Auriculares,66.5,115.5,True
11,Smartphones Principales 11,electronica,Smartphones,92.94,140.27,True
12,Auriculares Estamos 12,Electronica,Auriculares,45.95,84.99,True
13,Running Sola 13,DEPORTE,Running,70.04,173.54,True
14,Cuidado facial Obra 14,Belleza,Cuidado facial,32.35,67.01,True
15,Cuidado facial Riesgo 15,BELLEZA,Cuidado facial,90.08,123.38,True
16,Muebles Público 16,Hogar,Muebles,-92.31,,True
17,Maquillaje Ahí 17,Belleza,Maquillaje,12.56,34.21,False
18,Smartphones Nivel 18,electronica,Smartphones,144.95,364.2,True
19,Perfumes Santa 19,belleza,Perfumes,47.78,,True
20,Running Existe 20,deporte,Running,103.58,203.04,True
21,Ciclismo Español 21,DEPORTE,Ciclismo,20.94,42.78,True
22,Cocina Cuestión 22,Hogar,Cocina,8.06,21.47,True
23,Perfumes Llegó 23,Belleza,Perfumes,41.04,94.14,True
24,Ciclismo Región 24,DEPORTE,Ciclismo,48.82,101.55,True
25,Maquillaje Nombre 25,Belleza,Maquillaje,83.37,131.5,True
26,Camisetas Comunicación 26,Moda,Camisetas,145.53,,True
27,Cocina Da 27,Hogar,Cocina,141.11,372.85,True
28,Perfumes Color 28,Belleza,Perfumes,90.89,243.84,True
29,Perfumes Todo 29,BELLEZA,Perfumes,16.01,25.52,True
30,Accesorios Libros 30,ELECTRONICA,Accesorios,9.65,17.25,True
31,Accesorios Mejor 31,electronica,Accesorios,60.14,102.66,True
32,Perfumes Política 32,BELLEZA,Perfumes,124.82,229.06,True
33,Portatiles Presente 33,ELECTRONICA,Portatiles,44.3,93.65,True
34,Perfumes Equipo 34,BELLEZA,Perfumes,23.72,59.38,True
35,Perfumes Le 35,BELLEZA,Perfumes,13.96,38.81,True
36,Muebles Importante 36,hogar,Muebles,116.52,186.21,True
37,Ciclismo Rodríguez 37,DEPORTE,Ciclismo,3.81,9.61,True
38,Muebles Tampoco 38,Hogar,Muebles,106.91,255.89,True
39,Fitness Común 39,deporte,Fitness,116.38,164.22,True
40,Decoracion Amor 40,hogar,Decoracion,55.69,82.08,True
41,Accesorios Régimen 41,electronica,Accesorios,129.88,290.27,True
42,Accesorios Dicho 42,electronica,Accesorios,51.64,72.06,True
43,Maquillaje Hemos 43,belleza,Maquillaje,48.71,87.08,True
44,Auriculares Generales 44,ELECTRONICA,Auriculares,110.25,248.76,True
45,Ciclismo Corazón 45,deporte,Ciclismo,133.42,267.95,True
46,Camisetas Sea 46,moda,Camisetas,20.58,48.77,True
