order_item_id,order_id,product_id,quantity,discount_pct,unit_price_at_order
1,1,73,4,0.1,60.85
2,1,538,1,0.0,282.28
3,1,153,3,0.2,311.05
4,2,565,1,0.0,93.27
5,2,227,1,0.2,
6,3,461,3,0.0,
7,3,479,2,0.05,104.16
8,4,572,2,0.0,212.57
9,4,371,4,0.2,123.29
10,5,55,2,0.0,52.04
11,5,136,2,0.0,293.09
12,5,508,4,0.15,272.84
13,6,196,1,0.0,276.38
14,7,323,3,0.05,54.25
15,7,498,2,0.1,76.88
16,7,214,2,0.2,182.85
17,7,107,2,0.0,156.11
18,8,289,1,0.0,68.03
19,8,213,2,0.0,23.62
20,8,147,1,0.0,224.55
21,8,427,1,0.05,89.44
22,8,447,3,0.2,233.43
23,9,448,1,0.0,154.94
24,9,168,1,0.05,13.82
25,9,141,1,0.2,236.67
26,10,132,1,0.05,47.23
27,10,210,3,0.0,238.28
28,11,590,2,0.2,254.1
29,11,379,1,0.15,190.28
30,11,411,1,0.05,155.74
31,11,314,4,0.0,164.45
32,12,207,2,0.1,315.6
33,12,405,2,0.0,102.81
34,12,123,1,0.05,14.24
35,13,331,1,0.15,159.33
36,13,336,3,0.2,75.91
37,13,368,1,0.15,152.47
38,14,74,2,0.0,192.56
39,14,425,3,0.0,166.02
40,14,392,2,0.2,69.39
41,15,525,2,0.1,178.28
42,15,239,1,0.0,29.14
43,15,326,2,0.0,33.56
44,16,50,1,0.15,10.22
45,17,68,3,0.2,240.31
46,17,488,4,0.15,13.17
47,18,540,2,0.0,94.97
48,19,511,3,0.0,177.31
49,19,229,1,0.15,9.43
50,19,587,1,4.01,162.54
51,19,258,1,0.05,13.37
52,20,18,4,0.15,364.99
53,20,480,3,0.05,68.21
54,20,196,2,0.0,286.42
55,20,320,1,0.0,79.03
56,20,158,2,0.0,291.28
57,21,533,1,0.0,151.17
58,21,406,2,0.15,
59,22,170,2,0.0,105.65
60,23,89,1,0.15,205.95
61,23,381,4,0.0,44.33
62,24,425,1,0.2,167.15
63,24,562,1,0.0,315.22
64,24,24,4,0.05,102.54
65,25,324,1,0.1,216.56
66,26,266,3,0.0,334.31
67,26,73,3,0.0,57.82
68,26,456,4,0.2,155.73
69,27,572,1,0.05,210.26
70,27,595,1,0.05,110.58
71,28,18,3,0.2,368.3
72,28,491,1,0.2,126.59
73,28,409,4,0.0,166.62
74,29,101,2,0.15,143.04
75,29,524,1,0.15,48.8
76,29,138,1,0.2,155.3
77,29,28,1,0.2,241.12
78,30,466,1,0.15,57.75
79,30,48,1,0.0,241.91
80,31,499,4,0.05,211.86
81,32,451,2,0.0,42.78
82,33,377,4,0.15,175.06
83,34,157,2,0.2,18.1
84,35,39,1,0.05,166.79
85,35,597,1,0.15,122.62
86,36,270,3,0.1,101.11
87,36,422,1,0.0,77.45
88,36,485,1,0.05,179.4
89,37,122,1,0.1,261.18
90,38,39,4,0.2,169.76
91,39,93,2,0.0,93.11
92,40,213,4,0.0,24.23
93,40,308,2,0.05,346.89
94,40,299,2,0.05,157.6
95,40,394,2,0.05,
96,41,526,2,0.0,284.11
97,41,97,1,0.0,294.86
98,41,415,1,0.05,218.33
99,42,461,1,0.05,264.36
100,43,156,1,0.05,95.63
101,43,435,3,0.2,354.1
102,43,357,1,0.0,142.87
103,43,31,1,0.0,106.63
104,44,132,2,0.0,47.34
105,44,137,2,0.0,355.72
106,44,226,2,0.2,250.09
107,44,276,1,0.0,203.18
108,45,301,2,0.15,45.96
109,45,28,4,0.0,233.21
110,45,169,2,0.15,
111,46,69,4,0.1,189.28
112,46,582,2,0.15,125.62
113,46,599,2,0.0,412.79
114,46,366,3,0.15,65.67
115,46,391,2,0.1,224.39
116,47,278,4,0.0,255.28
117,47,296,2,0.0,52.69
118,48,283,1,0.0,116.21
119,49,539,2,0.0,144.28
120,50,446,2,0.2,276.44
121,50,436,1,0.05,95.04
122,50,98,2,0.1,97.63
123,50,527,4,0.2,354.96
124,51,562,1,0.0,334.49
125,52,417,1,4.52,38.04
126,52,562,1,0.05,330.1
127,53,190,1,0.1,205.26
128,53,200,2,0.0,286.39
129,53,56,2,0.0,68.52
130,54,38,3,0.05,245.5
131,55,532,1,0.1,218.95
132,55,145,4,0.1,98.47
133,56,78,1,0.0,238.75
134,56,117,2,0.05,176.02
135,57,261,3,0.05,169.29
136,57,344,1,0.1,147.04
137,57,422,2,0.0,76.69
138,57,291,3,0.0,189.35
139,58,284,2,0.05,122.15
140,59,393,1,0.2,82.64
141,60,524,2,0.1,48.04
142,61,296,1,0.0,53.9
143,62,131,2,0.0,270.7
144,62,591,2,0.1,256.8
145,63,429,1,0.0,17.36
146,63,202,3,0.0,204.19
147,64,552,2,0.0,
148,65,104,4,0.0,39.31
149,65,404,1,0.2,393.04
150,66,281,2,0.2,169.55
151,66,550,3,0.1,204.2
152,66,434,2,0.0,40.51
153,67,189,4,0.0,163.28
154,68,196,4,0.1,296.6
155,69,113,2,0.2,
156,69,186,3,0.2,
157,70,114,4,0.2,283.96
158,70,34,1,0.0,61.2
159,70,108,1,0.15,185.48
160,71,430,1,0.0,120.29
161,71,494,4,0.0,213.32
162,72,222,1,0.15,107.85
163,73,26,1,0.0,
164,73,49,4,0.15,152.85
165,73,320,2,0.1,82.96
166,73,166,1,0.0,137.32
167,74,310,1,0.0,281.89
168,75,498,4,0.0,77.43
169,75,103,1,0.0,125.8
170,76,17,2,0.0,35.27
171,76,139,2,0.1,269.14
172,76,311,4,0.0,48.71
173,76,476,1,0.05,217.12
174,76,5,1,0.1,207.24
175,77,245,2,0.15,362.49
176,77,568,1,0.15,149.43
177,77,82,1,0.0,193.78
