order_id,customer_id,order_date,order_status,channel,payment_method
1,774.0,2023-12-25,delivered,app,contrareembolso
2,1594.0,2025-06-25,delivered,web,paypal
3,634.0,2025-06-04,shipped,web,contrareembolso
4,1632.0,2024-09-03,delivered,web,paypal
5,1247.0,2024-08-12,delivered,marketplace,transferencia
6,10.0,2025-05-30,paid,marketplace,contrareembolso
7,1653.0,2024-06-21,delivered,app,transferencia
8,2893.0,2023-03-12,delivered,app,tarjeta
9,2523.0,2024-11-26,delivered,web,contrareembolso
10,1397.0,2025-08-02,paid,marketplace,paypal
11,1189.0,2025-12-05,refunded,web,transferencia
12,1585.0,2024-05-09,delivered,app,paypal
13,1306.0,2025-11-03,delivered,marketplace,contrareembolso
14,2135.0,2025-04-29,delivered,web,transferencia
15,,2024-02-18,delivered,app,tarjeta
16,1097.0,2024-03-10,shipped,marketplace,transferencia
17,2494.0,2024-07-23,delivered,web,contrareembolso
18,1118.0,2023-11-10,delivered,marketplace,transferencia
19,839.0,2025-02-12,refunded,web,transferencia
20,956.0,2024-12-25,delivered,app,transferencia
21,2141.0,2024-02-17,delivered,marketplace,transferencia
22,901.0,2025-05-29,delivered,app,transferencia
23,2115.0,2025-06-27,delivered,marketplace,paypal
24,613.0,2023-10-28,delivered,marketplace,transferencia
25,111.0,2023-12-17,delivered,web,contrareembolso
26,2572.0,2023-04-24,delivered,app,transferencia
27,1854.0,2025-08-05,paid,app,tarjeta
28,2253.0,2024-06-23,delivered,web,paypal
29,362.0,2023-07-24,delivered,marketplace,contrareembolso
30,2273.0,2024-04-18,delivered,app,transferencia
31,2125.0,2024-04-06,delivered,app,tarjeta
32,2696.0,2024-03-22,delivered,marketplace,transferencia
33,384.0,2024-03-31,delivered,web,transferencia
34,313.0,2024-09-23,delivered,marketplace,tarjeta
35,202.0,2025-06-28,delivered,marketplace,tarjeta
36,951.0,2024-09-11,delivered,marketplace,transferencia
37,272.0,2023-10-03,delivered,marketplace,paypal
38,2894.0,2023-10-29,delivered,marketplace,paypal
39,1509.0,2024-09-15,delivered,web,transferencia
40,2253.0,2024-06-04,delivered,web,contrareembolso
41,2498.0,2023-05-11,cancelled,web,tarjeta
42,1584.0,2023-04-30,delivered,marketplace,contrareembolso
43,2945.0,2025-04-09,delivered,web,tarjeta
44,3011.0,2025-03-18,delivered,web,paypal
45,1853.0,2024-11-01,delivered,web,transferencia
46,1544.0,2023-08-14,delivered,app,paypal
47,2243.0,2024-01-02,paid,marketplace,paypal
48,937.0,2024-09-07,delivered,app,transferencia
49,2813.0,2024-02-10,delivered,marketplace,contrareembolso
50,261.0,2023-01-17,delivered,app,contrareembolso
51,266.0,2025-06-06,delivered,web,contrareembolso
52,2751.0,2025-12-10,delivered,app,tarjeta
53,296.0,2024-06-23,created,web,tarjeta
54,566.0,2023-07-15,created,app,contrareembolso
55,2412.0,2023-02-09,delivered,web,paypal
56,2405.0,2023-12-27,delivered,web,tarjeta
57,714.0,2025-11-24,delivered,web,paypal
58,713.0,2024-12-31,delivered,app,paypal
59,727.0,2024-04-20,paid,marketplace,paypal
60,2305.0,2024-07-01,refunded,app,paypal
61,432.0,2025-01-26,delivered,app,paypal
62,1614.0,2024-10-12,delivered,marketplace,contrareembolso
63,1591.0,2023-11-05,paid,marketplace,contrareembolso
64,2247.0,2025-05-28,delivered,web,contrareembolso
65,969.0,2023-06-08,delivered,marketplace,tarjeta
66,853.0,2025-02-16,delivered,web,tarjeta
67,502.0,2025-03-26,delivered,app,contrareembolso
68,2369.0,2023-12-03,delivered,app,paypal
